city,owner_count,brand,model,car_age,km_numeric,engine_cc,mileage_numeric,max_power_numeric,torque_numeric,spec_seats,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol,transmission_Manual,body_type_Coupe,body_type_Hatchback,body_type_MUV,body_type_Minivans,body_type_Pickup Trucks,body_type_SUV,body_type_Sedan,body_type_Wagon
2,-0.5790571390058774,9,62,-0.7006232147796375,0.03329837148515498,0.1584129367280115,0.6342880547836967,-0.18524944741345004,0.8574993541520717,-0.2683633028080141,True,False,False,False,True,False,False,False,False,False,True,False,False
1,-0.5790571390058774,9,62,-0.7006232147796375,-0.3635482155158709,0.6450342541358338,-0.5059765489455369,1.0485109510638648,1.3707776096385158,-0.2683633028080141,True,False,False,False,False,False,False,False,False,False,True,False,False
5,-0.5790571390058774,27,216,-0.9563960547421543,-1.1877680500564631,-0.3569870607415637,0.12496986511797192,-0.3129025233092365,-0.5058760469035313,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
5,-0.5790571390058774,19,148,0.8340138249954626,0.03329837148515498,-0.36221954802551876,-0.25258441478348503,-0.2806602515623626,-0.4930983955346877,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
3,0.9382256199399192,8,53,-0.18907753485460413,-0.5772348392856541,0.42265354456774296,-0.4552981221131267,0.7556984831585818,-0.09699120310053877,-0.2683633028080141,False,False,False,True,True,False,False,False,False,False,False,True,False
4,-0.5790571390058774,6,40,-0.4448503748171208,0.5278302722095103,0.4252697882097205,0.5329312011188754,0.15230739760994297,0.7974443927185073,-0.2683633028080141,True,False,False,False,True,False,False,False,False,False,True,False,False
1,-0.5790571390058774,19,129,0.06669530510791256,0.9639646713236377,-0.882852032779049,1.6225173780156987,-0.9416268223732761,-0.8125396797557756,-0.2683633028080141,False,False,False,True,False,False,True,False,False,False,False,False,False
3,0.9382256199399192,9,70,-0.9563960547421543,-0.5449376324358782,-0.6526225922850256,0.17818221329200304,-0.8646401735082916,-0.6847631660673404,-0.2683633028080141,False,False,False,True,False,False,True,False,False,False,False,False,False
2,-0.5790571390058774,28,225,1.345559504920496,1.2546700596321585,0.4200373009257654,-0.5059765489455369,-0.18524944741345004,-0.2631006708955045,-0.2683633028080141,False,False,False,True,True,False,False,False,False,False,False,True,False
3,0.9382256199399192,9,63,0.06669530510791256,0.2877686137344282,-1.3642408629029161,0.38089592062164473,-1.2874087367198512,-0.9978156246040065,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
2,-0.5790571390058774,29,240,-1.4679417346671877,-1.3709280132877057,0.4252697882097205,-0.435026751380163,1.7496158601719065,1.2446621906280304,-0.2683633028080141,False,False,False,True,False,False,False,False,False,False,True,False,False
0,-0.5790571390058774,19,126,0.06669530510791256,0.03329837148515498,-0.36221954802551876,0.4569135608702596,-0.36949100025272935,-0.4803207441658442,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
3,-0.5790571390058774,19,124,-0.18907753485460413,1.7875739726534592,-1.411333248458512,1.293107603605031,-1.5473209273324058,-1.0680927071326458,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
1,0.9382256199399192,19,129,-0.18907753485460413,1.176369175350802,-0.882852032779049,0.8876801889457485,-0.897869453573947,-0.7997620283869321,-0.2683633028080141,False,False,False,True,False,False,True,False,False,False,False,False,False
5,0.9382256199399192,19,153,1.8571051848455296,1.8648980037975822,-0.882852032779049,-0.17656677453487016,-0.8958954369363836,-0.7997620283869321,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
0,0.9382256199399192,8,55,0.06669530510791256,-0.450427091408557,-0.3569870607415637,-0.15122756111866462,-0.18524944741345004,-0.5442090010100618,-0.2683633028080141,False,False,False,True,False,False,True,False,False,False,False,False,False
2,-0.5790571390058774,28,228,0.578240985032946,1.1017314903340707,4.307775352904389,-1.7856068264638991,2.440192680546276,2.650203841200817,3.0059442358628985,True,False,False,False,False,False,False,False,False,False,True,False,False
5,-0.5790571390058774,27,212,-1.4679417346671877,-1.5184023103493947,-0.3569870607415637,0.12496986511797192,-0.2533530214093981,-0.4803207441658442,-0.2683633028080141,False,False,False,True,True,False,False,False,False,False,True,False,False
0,2.4555083788857157,9,71,2.6244237047330796,0.03329837148515498,-0.6526225922850256,-0.4248910660136802,-1.0603968234000254,-0.7218183550369868,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
5,-0.5790571390058774,5,32,1.345559504920496,-1.0656614079023012,-0.42762563907495726,-0.8607255367724101,-0.8662851873729279,-0.723096120173871,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
3,-0.5790571390058774,9,75,-0.4448503748171208,0.8822448010619649,0.6450342541358338,0.6089488413674911,1.0485109510638648,1.3707776096385158,-0.2683633028080141,True,False,False,False,True,False,False,False,False,False,False,True,False
0,-0.5790571390058774,19,125,0.32246814507042926,-0.27196823390024955,-0.882852032779049,1.103063502983492,-0.89754045080102,-0.7997620283869321,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
3,-0.5790571390058774,19,141,-0.4448503748171208,0.6179144474587431,-0.36221954802551876,0.32768357244761365,-0.4122613607332762,-0.5058760469035313,-0.2683633028080141,False,False,False,True,False,False,True,False,False,False,False,False,False
1,-0.5790571390058774,19,132,-0.4448503748171208,-0.26381761553645927,-0.22879112228466428,2.152106938414387,-0.19182950287199582,0.6057796221858546,-0.2683633028080141,True,False,False,False,False,False,False,False,False,False,False,True,False
0,-0.5790571390058774,19,148,0.32246814507042926,-0.7222364768437212,-0.36221954802551876,0.7052378523490705,-0.19182950287199582,-0.5058760469035313,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
1,-0.5790571390058774,9,76,0.06669530510791256,0.15574080690524073,-0.36221954802551876,-0.12588834770245905,-0.4056813052747304,-0.4930983955346877,-0.2683633028080141,False,False,False,True,False,False,False,False,False,False,False,True,False
1,-0.5790571390058774,19,124,0.578240985032946,-0.4725894469595374,-1.411333248458512,0.7964590206474091,-1.5473209273324058,-1.0680927071326458,-0.2683633028080141,False,False,False,True,True,False,True,False,False,False,False,False,False
0,2.4555083788857157,27,202,-0.18907753485460413,1.254364793026773,0.1584129367280115,1.3691252438536468,-0.8333849100801995,-0.16087945994475633,-0.2683633028080141,True,False,False,False,True,False,True,False,False,False,False,False,False
