city,fuel_type,body_type,transmission,owner_count,brand,model,variant,car_age,price_numeric,km_numeric,engine_cc,mileage_numeric,max_power_numeric,torque_numeric,spec_seats
Bangalore,Diesel,SUV,Manual,2,Nissan,Nissan Terrano,XV Premium 110 PS,10,650000.0,60000,1461.0,19.01,108.5,248.0,5.0
Bangalore,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,VDI BSIV,10,444000.0000000001,83829,1248.0,25.2,74.0,190.0,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Renault,Renault KWID,1.0 RXT AMT Opt,4,509999.9999999999,10000,999.0,22.0,67.0,91.0,5.0
Bangalore,Diesel,SUV,Automatic,2,Renault,Renault Duster,110PS Diesel RxZ AMT,8,925000.0,35000,1461.0,19.6,108.45,245.0,5.0
Bangalore,Petrol,Sedan,Automatic,2,Honda,Honda City,i-VTEC CVT V,5,1024000.0,51116,1497.0,18.0,117.6,145.0,5.0
Bangalore,Diesel,Sedan,Manual,3,Skoda,Skoda Rapid,1.5 TDI Elegance Black Package,8,500000.0,80000,1498.0,21.14,103.52,250.0,5.0
Bangalore,Petrol,Hatchback,Automatic,2,Volkswagen,Volkswagen Polo,GT TSI,7,994999.9999999999,40000,1197.0,17.21,103.5,175.0,5.0
Bangalore,Petrol,SUV,Automatic,2,Honda,Honda CR-V,2.4L 4WD AT,12,935000.0,85565,2354.0,11.1,158.8,218.0,5.0
Bangalore,Petrol,SUV,Manual,1,Ford,Ford Ecosport,1.5 Petrol Titanium Plus BSIV,6,834000.0,36916,1497.0,17.0,121.36,150.0,5.0
Bangalore,Diesel,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,1.5 TDI Highline,9,560000.0,90000,1498.0,20.14,88.8,230.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,VXI,12,454000.0,112795,1197.0,22.38,88.5,113.0,5.0
Bangalore,Petrol,MUV,Manual,2,Toyota,Toyota Innova,2.0 VX (Petrol) 7 Seater,10,1100000.0,120000,1998.0,11.4,130.1,181.0,7.0
Bangalore,Petrol,Hatchback,Manual,2,Honda,Honda Brio,S MT,8,462000.0,36685,1198.0,19.4,86.8,109.0,5.0
Bangalore,Diesel,SUV,Automatic,2,Hyundai,Hyundai Santa Fe,4x4 AT,12,900000.0,120000,2199.0,11.72,194.3,436.4,7.0
Bangalore,Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,1.2 CVT Alpha,5,843000.0,32184,1197.0,21.4,83.1,115.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno RS,1.0 Petrol,6,799000.0,32279,998.0,21.1,100.5,150.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,Asta Option 1.2,9,576000.0,59698,1197.0,18.6,81.83,114.7,5.0
